epoch,step,train/DPLoss
0,2,3.2956738471984863
0,5,1.4224679470062256
0,8,0.9428491592407227
0,11,-0.4045994281768799
1,14,-0.31081271171569824
1,17,-1.0847662687301636
1,20,-1.8777990341186523
1,23,-2.095944404602051
2,26,-2.409862518310547
2,29,-2.751462459564209
2,32,-3.117525815963745
2,35,-2.717052459716797
2,38,-2.5350608825683594
3,41,-3.235241651535034
3,44,-3.3541319370269775
3,47,-3.3725790977478027
3,50,-3.0481252670288086
4,53,-3.316305637359619
4,56,-3.6957995891571045
4,59,-3.0494277477264404
4,62,-3.321796417236328
5,65,-2.734501361846924
5,68,-3.4490344524383545
5,71,-2.986176013946533
5,74,-3.3342273235321045
5,77,-3.892127513885498
6,80,-3.4545466899871826
6,83,-3.649096727371216
6,86,-3.4908885955810547
6,89,-3.506673812866211
7,92,-3.4037699699401855
7,95,-3.5807998180389404
7,98,-3.3579914569854736
7,101,-3.8161234855651855
8,104,-3.3868815898895264
8,107,-3.6553127765655518
8,110,-4.042306900024414
8,113,-3.1746556758880615
8,116,-3.3565196990966797
9,119,-4.007449150085449
9,122,-3.906545639038086
9,125,-3.7128005027770996
9,128,-3.8854572772979736
10,131,-4.069086074829102
10,134,-4.092346668243408
10,137,-3.8675007820129395
10,140,-3.6820859909057617
11,143,-4.138576507568359
11,146,-3.934386730194092
11,149,-3.841463327407837
11,152,-3.8811492919921875
11,155,-3.253573417663574
12,158,-4.197603225708008
12,161,-4.030368804931641
12,164,-3.830965757369995
12,167,-3.9937732219696045
13,170,-4.039272785186768
13,173,-4.005739688873291
13,176,-3.783339023590088
13,179,-4.214008331298828
14,182,-4.494036674499512
14,185,-4.09047269821167
14,188,-4.183310508728027
14,191,-4.365119934082031
14,194,-3.3519973754882812
15,197,-4.0804338455200195
15,200,-4.239328861236572
15,203,-4.302876949310303
15,206,-4.36372184753418
16,209,-3.9101526737213135
16,212,-4.181107521057129
16,215,-4.391256332397461
16,218,-4.076374530792236
17,221,-4.299443244934082
17,224,-4.024848461151123
17,227,-4.28002405166626
17,230,-4.33867073059082
17,233,-4.059188365936279
18,236,-4.270862579345703
18,239,-4.355489730834961
18,242,-4.27238655090332
18,245,-4.413195610046387
19,248,-4.255380630493164
19,251,-4.101974010467529
19,254,-4.378208637237549
19,257,-4.400049686431885
20,260,-4.397089958190918
20,263,-4.0492143630981445
20,266,-4.268062591552734
20,269,-4.251396179199219
20,272,-4.2597503662109375
21,275,-4.281734943389893
21,278,-4.314632892608643
21,281,-4.277055263519287
21,284,-4.241497039794922
22,287,-4.649743556976318
22,290,-4.328925132751465
22,293,-4.530239105224609
22,296,-4.4713287353515625
23,299,-4.226277828216553
23,302,-3.9513847827911377
23,305,-4.376612663269043
23,308,-4.4881086349487305
23,311,-4.291779518127441
24,314,-4.629296779632568
24,317,-4.368210792541504
24,320,-4.185308933258057
24,323,-4.629639625549316
25,326,-4.526605606079102
25,329,-4.249639511108398
25,332,-4.35658073425293
25,335,-4.5154266357421875
26,338,-4.383218288421631
26,341,-4.213580131530762
26,344,-4.5615234375
26,347,-4.530918121337891
26,350,-4.4407734870910645
27,353,-4.517088413238525
27,356,-4.5160112380981445
27,359,-4.2293171882629395
27,362,-4.545307636260986
28,365,-4.547965049743652
28,368,-4.389262676239014
28,371,-4.4251708984375
28,374,-4.418612480163574
29,377,-4.451462268829346
29,380,-4.169421672821045
29,383,-4.518621444702148
29,386,-4.5295538902282715
29,389,-3.9802896976470947
30,392,-3.6616787910461426
30,395,-4.430601596832275
30,398,-4.486170768737793
30,401,-4.529861927032471
31,404,-4.384772300720215
31,407,-4.412762641906738
31,410,-4.6543779373168945
31,413,-4.624953746795654
32,416,-4.601566314697266
32,419,-4.599432945251465
32,422,-4.430623531341553
32,425,-4.448764801025391
32,428,-4.393749237060547
33,431,-4.55350923538208
33,434,-4.422856330871582
33,437,-4.381875514984131
33,440,-4.583491802215576
34,443,-4.54355525970459
34,446,-4.554988384246826
34,449,-4.325901031494141
34,452,-4.63423490524292
35,455,-4.526560306549072
35,458,-4.565584182739258
35,461,-4.364903926849365
35,464,-4.62191915512085
35,467,-3.9732871055603027
36,470,-4.330484390258789
36,473,-4.5604963302612305
36,476,-4.477699279785156
36,479,-4.517416477203369
37,482,-4.6224799156188965
37,485,-4.416622638702393
37,488,-4.48819637298584
37,491,-4.530532360076904
38,494,-4.7397871017456055
38,497,-4.503143787384033
38,500,-4.531076431274414
38,503,-4.534338474273682
38,506,-4.730968952178955
39,509,-4.448358535766602
39,512,-4.420093536376953
39,515,-4.531068801879883
39,518,-4.448293685913086
40,521,-4.467016696929932
40,524,-4.540144920349121
40,527,-4.742982864379883
40,530,-4.610262393951416
41,533,-4.2167840003967285
41,536,-4.405295372009277
41,539,-4.645380973815918
41,542,-4.665173530578613
41,545,-4.412438869476318
42,548,-4.645129203796387
42,551,-4.773941516876221
42,554,-4.520889759063721
42,557,-4.550872802734375
